generation,vial_id,temperature,diet,sex,rep,age,eggs
F0,114,23,1.5,female,4,19,4
F0,115,23,1.5,female,5,19,16
F0,116,23,1.5,female,6,19,0
F0,117,23,1.5,female,7,19,7
F0,118,23,1.5,female,8,19,15
F0,119,23,1.5,female,9,19,20
F0,120,23,1.5,female,10,19,7
F0,131,25,0.4,female,1,19,0
F0,132,25,0.4,female,2,19,12
F0,133,25,0.4,female,3,19,0
F0,134,25,0.4,female,4,19,2
F0,135,25,0.4,female,5,19,3
F0,136,25,0.4,female,6,19,0
F0,137,25,0.4,female,7,19,2
F0,138,25,0.4,female,8,19,6
F0,139,25,0.4,female,9,19,6
F0,140,25,0.4,female,10,19,0
F0,151,25,1,female,1,19,1
F0,152,25,1,female,2,19,2
F0,153,25,1,female,3,19,0
F0,154,25,1,female,4,19,0
F0,155,25,1,female,5,19,0
F0,156,25,1,female,6,19,0
F0,157,25,1,female,7,19,1
F0,158,25,1,female,8,19,0
F0,159,25,1,female,9,19,2
F0,160,25,1,female,10,19,28
F0,171,25,1.5,female,1,19,2
F0,172,25,1.5,female,2,19,0
F0,173,25,1.5,female,3,19,1
F0,174,25,1.5,female,4,19,0
F0,175,25,1.5,female,5,19,2
F0,176,25,1.5,female,6,19,2
F0,177,25,1.5,female,7,19,2
F0,178,25,1.5,female,8,19,1
F0,179,25,1.5,female,9,19,0
F0,180,25,1.5,female,10,19,0
F0,191,27,0.4,female,1,19,2
F0,192,27,0.4,female,2,19,0
F0,193,27,0.4,female,3,19,0
F0,194,27,0.4,female,4,19,0
F0,195,27,0.4,female,5,19,1
F0,196,27,0.4,female,6,19,0
F0,197,27,0.4,female,7,19,0
F0,198,27,0.4,female,8,19,0
F0,199,27,0.4,female,9,19,0
F0,200,27,0.4,female,10,19,0
F0,211,27,1,female,1,19,5
F0,212,27,1,female,2,19,4
F0,213,27,1,female,3,19,1
F0,214,27,1,female,4,19,26
F0,215,27,1,female,5,19,11
F0,216,27,1,female,6,19,1
F0,217,27,1,female,7,19,38
F0,218,27,1,female,8,19,0
F0,219,27,1,female,9,19,0
F0,220,27,1,female,10,19,3
F0,231,27,1.5,female,1,19,1
F0,232,27,1.5,female,2,19,0
F0,233,27,1.5,female,3,19,0
F0,234,27,1.5,female,4,19,24
F0,235,27,1.5,female,5,19,2
F0,236,27,1.5,female,6,19,14
F0,237,27,1.5,female,7,19,0
F0,238,27,1.5,female,8,19,1
F0,239,27,1.5,female,9,19,1
F0,240,27,1.5,female,10,19,0
F0,251,29,0.4,female,1,19,0
F0,252,29,0.4,female,2,19,0
F0,253,29,0.4,female,3,19,0
F0,254,29,0.4,female,4,19,1
F0,255,29,0.4,female,5,19,0
F0,256,29,0.4,female,6,19,0
F0,257,29,0.4,female,7,19,0
F0,258,29,0.4,female,8,19,0
F0,259,29,0.4,female,9,19,0
F0,260,29,0.4,female,10,19,0
F0,271,29,1,female,1,19,10
F0,272,29,1,female,2,19,1
F0,273,29,1,female,3,19,1
F0,274,29,1,female,4,19,0
F0,275,29,1,female,5,19,0
F0,276,29,1,female,6,19,1
F0,277,29,1,female,7,19,0
F0,278,29,1,female,8,19,2
F0,279,29,1,female,9,19,0
F0,280,29,1,female,10,19,0
F0,291,29,1.5,female,1,19,0
F0,292,29,1.5,female,2,19,0
F0,293,29,1.5,female,3,19,1
F0,294,29,1.5,female,4,19,0
F0,295,29,1.5,female,5,19,1
F0,296,29,1.5,female,6,19,0
F0,297,29,1.5,female,7,19,2
F0,298,29,1.5,female,8,19,0
F0,299,29,1.5,female,9,19,0
F0,300,29,1.5,female,10,19,2
F0,11,21,0.4,female,1,26,0
F0,12,21,0.4,female,2,26,0
F0,13,21,0.4,female,3,26,2
F0,14,21,0.4,female,4,26,2
F0,15,21,0.4,female,5,26,0
F0,16,21,0.4,female,6,26,0
F0,17,21,0.4,female,7,26,0
F0,18,21,0.4,female,8,26,2
F0,19,21,0.4,female,9,26,0
F0,20,21,0.4,female,10,26,0
F0,31,21,1,female,1,26,33
F0,32,21,1,female,2,26,26
F0,33,21,1,female,3,26,39
F0,34,21,1,female,4,26,57
F0,35,21,1,female,5,26,34
F0,36,21,1,female,6,26,36
F0,37,21,1,female,7,26,26
F0,38,21,1,female,8,26,34
F0,39,21,1,female,9,26,32
F0,40,21,1,female,10,26,41
F0,51,21,1.5,female,1,26,91
F0,52,21,1.5,female,2,26,83
F0,53,21,1.5,female,3,26,86
F0,54,21,1.5,female,4,26,97
F0,55,21,1.5,female,5,26,98
